Name,Sotto generi,Autorə,Casa Editrice,Copertina,Data pubblicazione,Pagine,Saga?,Trigger warning,Acquista,Instagram,Recensioni
La Mesmerista,"Romance, Storico",Sara Simoni,Acheron Books,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/9788832198911_0_424_0_75.jpg,"July 8, 2022",300,Saga,,,,
Le notti di Cliffmouth: luci verdi dall'inferno,Dark,Mattia Manfredonia,Lumien,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/9791281256026_0_424_0_75.jpg,"December 1, 2022",456,Saga,,,,
Clover – Il custode delle storie incompiute,Portal,Camilla Cosmelli,self,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/712C2AgVFpL._SL1500_.jpg,"October 9, 2022",440,Saga ma si legge anche da solo,,,,
Awen,"Distopico, Sci-fi",Arianna Rosa,Acheron Books,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/61B5nUYCWzL._SL1448_.jpg,"April 14, 2022",280,Saga,,,,
Nell Ruell va all'inferno,"Portal, Storico",R.J. Driscoll,self,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/91QhKRCiaAL._SL1500_.jpg,"March 2, 2023",497,Saga,,,,
Azoth Express,Giallo,Elia P. Ansaloni,Delrai Edizioni,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/81Cbmw9tKKL._SL1365_.jpg,"December 2, 2021",250,Autoconclusivo,,,,
La fiamma azzurra,Comic,Daniele Viaroli,DZ Edizioni,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/71QPuqab9-L._SL1421_.jpg,"April 2, 2019",334,Saga ma si legge anche da solo,,,,
Bodhi: Cuore di ferro,Sci-fi,Azzurra Pasquali,self,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/7198fVtlxL._SL1500_.jpg,"July 13, 2023",364,Saga,,,,
Liwaria - La spada di diamante blu,Epic,Giada Abbiati,self,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/81xT9NMCtXL._SL1500_.jpg,"December 8, 2021",643,Saga,,,,
Gli incubi di chi non dorme,Horror,Naenia Miele,Spirito libero edizioni,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/71uiYn69GL._SL1500_.jpg,"January 20, 2023",222,Autoconclusivo,,,,
Il Pugnale dei Poeti: il Volo del Gheppio,"Cozy, High",Chiara Zanini,Lumien,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/810B3NEvgL._SL1500_.jpg,"October 13, 2023",336,Saga,,,,
Tsunami,Steampunk,Marco Romani,Delrai edizioni,Libri%209bbfaa6f85374e1880bb19953d1b4ffd/61adIX2WovL.jpg,"June 1, 2023",450,Autoconclusivo,,,,
